รายการยา,ปริมาณตัวทำละลายผงยา,total volume,conc (mg/ml),สารน้ำที่ใช้เจือจาง,administration conc.,administration rate,หมายเหตุ*
Adrenaline 1 mg/1ml,0,-,1 mg/ml (1:1000),D5W D10W NSS*,infusion max conc 60 mcg/ml,,NSS (compativle but administration in saline solution alone is not recomeded)
Calcium gluconate 0.45 mEq/1 ml (10 ml/amp),0,-,0.45 mEq/ml,D5W D10W NSS,conc bolus 10-50 mg/ml conc continuous infusion 5.8-10 mg/ml,"max IV drip 100 mg/min, max continuos drip neonate (<1 month): 17-33 mg/kg/hr, >1 month - 17 year: 8-13 mg/kg/hr ",
Ciprofloxacin 400 mg/200 ml,0,-,2 mg/ml,"D5W D10W NSS 
D5N/2 D5N/4 LRS",0.5-2 mg/ml ,IV drip over 60 min,
Dexamethasone 4mg/1ml,0,-,4 mg/ml,D5W D10W NSS,undiluted or diluted to 0.1-1 mg/ml,-,
DIAZEPAM 10 mg/ 2 ml,0,-,5 mg/ml,,,,
Gentamicin 80 mg/2ml,0,-,40 mg/ml,D5W D10W NSS,1 mg/ml or 2 mg/ml or 10 mg/ml or 10 mg/ml,IV drip in 30 min,
Levetiracetam 100 mg/1ml (5 ml/vial),0,-,100 mg/1ml,D5W NSS LRS,max 15 mg/ml,IV drip over 15 min,
Methylprednisolone 40 mg/1 mg (single dose vial),0,-,40 mg/ml,D5W NSS  D5S D5N/2 LRS,"IV push over several min, IV infusion high dose 15-30 mg/kg or 500-1000 mg per dose to 2.5-20 mg/ml",IV drip over 30 min to 3 hr,
Metronidazole 500 mg/100 ml,0,-,5 mg/ml,D5W NSS,max 8 mg/ml,IV drip over 30-60 min,
ONDANSETRON 4 mg /2 ml.,0,-,2 mg/ml,,,,
Phenobarbital 200 mg/1 ml,0,-,200 mg/ml,D5W D10W NSS,standard conc 10 mg/ml and 65 mg/ml,IV drip 15- 30 min,
Phenytoin 250 mg/5ml,0,-,50 mg/ml,NSS only,IV infusion not less than 5 mg/ml,IV drip in 15-30 min,
Potassium chloride 40 mEq/20 ml,0,-,2 mEq/ml,"D5W D10W NSS D5N/2 D5N/4 LRS, Acetar",max. peripheral infusion 60-80 mEq/L max. central line infusion 200 mEq/L ,max 1 mEq/kg/hr or 40 mEq/hr,
Sodium valproate 400 mg/4ml,0,-,100 mg/ml,D5W NSS LRS,,IV drip max 20 mg/min over 60 min,เจือจางในสารน้ำ อย่างน้อย 50 ml
Amoxy-clave 1.2 g,"NSS,SWI 19.1 ml",20 ml,50 mg/ml,NSS,10-20 mg of amoxicillin/ml ,IV drip in 30-40 min,
Ampicillin 1000 mg,"NSS,SWI 7.4 ml",10 ml,100 mg/ml,D5W NSS D5N/2 LRS,"recommened 30,40,50,100 mg/ml",IV drip in 30 min,
Ampicillin 500 mg,"NSS,SWI 5 ml",5 ml,100 mg/ml,D5W,"recommened 30,40,50,100 mg/ml",IV drip in 30 min,
Cefazolin 1 g,SWI 4.5 ml,5 ml,200 mg/ml,NSS D5W D10W LRS,"IV bolus  100 mg/ml, IV infusion 5-20 mg/ml",IV bolus over 3-5 min or IV drip 30-60 min,
Cefotaxime 1 g,SWI 9.6 ml,10 ml,100 mg/ml,NSS D5W D10W,"IV bolus 50-100 mg/ml, IV infusion 10-40 mg/ml",IV drip in 30 min,
Ceftazidime 1 g,SWI 9  ml,10 ml,100 mg/ml,NSS D5W D10W,1-40 mg/ml,IV drip over 30-60 min,"น้อยกว่า 1 g เจือจางในสารน้ำ 30-50 ml, มากกว่า 1 g เจือจางในสารน้ำ 60-100 ml"
Ceftriaxone 1 g,SWI 9.5 ml,10 ml,100 mg/ml,NSS D5W D10W,10-40 mg/ml (or lower if necessary),"<1 g IV drip in 30 min, > 1 g  IV drip in 60 min","น้อยกว่า 1 g เจือจางในสารน้ำ 30-50 ml, มากกว่า 1 g เจือจางในสารน้ำ 60-100 ml"
Cloxacillin 1 g,"IV bolus SWI 9.6 ml, IV infusion SWI 3.4 ml","IV bolus 10 ml, IV infusion 4 ml","IV bolus 100 mg/ml, IV infusion 250 mg/ml",NSS D5W*,"IV push 50 or 10 mg/ml, IV infusion +solution to 100 ml","IV bolus over 2-4 min, IV drip over 30-40 min","ให้ add  NSS to 100 ml 
***ใน D5W โอกาสเกิด phlebitis มากกว่า "
Colistin 150 mg,SWI 2 ml,2 ml,75 mg/ml,"NSS, D5W, D5S, D10W, SWI",75 mg/ml,IV drip 30-60 min,
Hydrocortisone 100 mg,SWI 1.8 ml,2 ml,50 mg/ml,NSS D5W,"IV infusion 1 mg/ml, fluid-restricted pt. IV bolus up to 3000 mg + 50 ml and IV infusion 1,2,5 mg/ml","IV bolus 30 sec. (100 mg) to 10 min (500 mg and more), ",
Meropenem 1 g,SWI 19 ml,20 ml,50 mg/ml,NSS D5W D10W,1-20 mg/ml,IV drip over 30 min,
Omeprazole 40 mg,SWI 10 ml,-,4 mg/ml,NSS,direct IV or dilute 50-100 ml  iv infusion,direct IV 40 mg over 5 min  or IV drip 20-30 min,infusion เจือจางในสารน้ำ 50-100 ml
Penicillin G Sodium 5 MU,SWI 8 ml,10 ml,"500,000 unit/ml",NSS D5W,"50,000-100,000 unit/ml (in neonate 25,000 unit/ml has been used)",IV drip : add solution up to 30 ml drip over 15-30 min,
Piperacillin+tazobactam 4.5 g,SWI 20 ML,-,180 mg/mL,NSS D5W,20-80 mg/ml of piperacillin ,IV drip over 30 min,
Vancomycin 500 mg,SWI 10 ml,-,50 mg/ml,NSS D5W,5 mg/ml,max rate 10 mg/min,
Acyclovir 250 mg,SWI 10 ML,-,25 mg/ml,NSS,<5,IV drip conc <5 mg/ml drip over 1 hr,IV drip conc <5 mg/ml
Amikacin sulfate  500 mg/2 ml,0,-,250 MG/ml,D5W NSS,2.5- 10 mg/ml,IV drip in 30 min,
Clindamycin 600 mg/4ml,0,-,150 mg/ml,D5W D10W NSS,max 18 mg/ml standard conc. 6 mg/ml or 12 mg/ml or 18 mg/ml,IV drip in 10-60 min not exceed 30 mg/min,
Amiodarone Hydrochloride 50 mg/ml,,,,,,,
DIGOXIN IV 0.25 mg/ml,,,,,,,
DIPOTASSIUM PHOSPHATE 1meq/ml,,,,,,,
50%MAGNESIUM SULFATE 0.5 g/ml,,,,,,,
